Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
19,2014,,Erik Goeddel,25,0,0,0.0,2.7,6,0,5,0,0,0,6.2,3,2,2,0,4,1,6,0,0,1,26,136,3.13,1.05,4.1,0.0,5.4,8.1,1.5,Right,No
20,2014,,John Lannan,29,1,0,1.0,15.75,5,0,3,0,0,0,4.0,7,7,7,3,2,0,2,0,0,1,21,24,13.38,2.25,15.8,6.8,4.5,4.5,1.0,Left,No
21,2014,,Dario Álvarez,25,0,0,0.0,13.5,4,0,0,0,0,0,1.1,4,2,2,1,0,0,1,0,0,0,8,34,11.38,3.0,27.0,6.8,0.0,6.8,0.0,Left,No
22,2014,,Bobby Parnell,29,0,0,0.0,9.0,1,0,0,0,0,0,1.0,2,1,1,0,1,0,1,0,0,0,6,55,4.13,3.0,18.0,0.0,9.0,9.0,1.0,Right,No
1,2013,SP,Dillon Gee,27,12,11,0.522,3.62,32,32,0,2,0,0,199.0,208,84,80,24,47,0,142,7,0,4,841,98,4.0,1.281,9.4,1.1,2.1,6.4,3.02,Right,No
2,2013,SP,Matt Harvey,24,9,5,0.643,2.27,26,26,0,1,1,0,178.1,135,46,45,7,31,1,191,4,0,2,690,157,2.01,0.931,6.8,0.4,1.6,9.6,6.16,Right,No
3,2013,SP,Jon Niese,26,8,8,0.5,3.71,24,24,0,1,1,0,143.0,158,68,59,10,48,1,105,4,0,5,621,96,3.58,1.441,9.9,0.6,3.0,6.6,2.19,Left,No
4,2013,SP,Jeremy Hefner,27,4,8,0.333,4.34,24,23,1,0,0,0,130.2,132,75,63,20,37,4,99,5,0,1,556,82,4.49,1.293,9.1,1.4,2.5,6.8,2.68,Right,No
5,2013,SP,Zack Wheeler,23,7,5,0.583,3.42,17,17,0,0,0,0,100.0,90,42,38,10,46,2,84,4,0,6,431,104,4.17,1.36,8.1,0.9,4.1,7.6,1.83,Right,No
6,2013,SP,Shaun Marcum,31,1,10,0.091,5.29,14,12,2,0,0,0,78.1,85,48,46,7,21,2,60,4,0,2,334,68,3.64,1.353,9.8,0.8,2.4,6.9,2.86,Right,No
7,2013,CL,Bobby Parnell,28,5,5,0.5,2.16,49,0,41,0,0,22,50.0,38,17,12,1,12,3,44,1,0,1,198,166,2.33,1.0,6.8,0.2,2.2,7.9,3.67,Right,No
8,2013,RP,LaTroy Hawkins,40,3,2,0.6,2.93,72,0,28,0,0,13,70.2,71,27,23,6,10,2,55,1,0,1,288,122,3.06,1.146,9.0,0.8,1.3,7.0,5.5,Right,No
9,2013,RP,Scott Rice,31,4,5,0.444,3.71,73,0,7,0,0,0,51.0,42,22,21,1,27,4,41,2,1,3,213,97,3.4,1.353,7.4,0.2,4.8,7.2,1.52,Left,No
10,2013,RP,Scott Atchison,37,3,3,0.5,4.37,50,0,10,0,0,0,45.1,45,27,22,4,12,0,28,0,0,5,194,82,3.75,1.257,8.9,0.8,2.4,5.6,2.33,Right,No
11,2013,RP,David Aardsma,31,2,2,0.5,4.31,43,0,7,0,0,0,39.2,39,20,19,7,19,6,36,4,1,1,178,83,5.27,1.462,8.8,1.6,4.3,8.2,1.89,Right,No
12,2013,,Carlos Torres,30,4,6,0.4,3.44,33,9,6,0,0,0,86.1,79,34,33,15,17,1,75,4,1,4,352,104,4.3,1.112,8.2,1.6,1.8,7.8,4.41,Right,No
13,2013,,Daisuke Matsuzaka,32,3,3,0.5,4.42,7,7,0,0,0,0,38.2,32,21,19,4,16,0,33,5,0,0,166,81,4.32,1.241,7.4,0.9,3.7,7.7,2.06,Right,No
14,2013,,Brandon Lyon,33,2,2,0.5,4.98,37,0,7,0,0,0,34.1,43,20,19,3,13,3,23,0,0,1,153,72,3.98,1.631,11.3,0.8,3.4,6.0,1.77,Right,No
15,2013,,Gonzalez Germen,25,1,2,0.333,3.93,29,0,8,0,0,1,34.1,32,15,15,1,16,1,33,0,0,2,149,91,2.9,1.398,8.4,0.3,4.2,8.7,2.06,Right,No
16,2013,,Greg Burke,30,0,3,0.0,5.68,32,0,12,0,0,0,31.2,43,27,20,3,15,2,28,0,0,0,156,63,3.93,1.832,12.2,0.9,4.3,8.0,1.87,Right,No
17,2013,,Josh Edgin,26,1,1,0.5,3.77,34,0,5,0,0,1,28.2,26,12,12,2,12,3,20,2,0,0,122,96,4.02,1.326,8.2,0.6,3.8,6.3,1.67,Left,No
18,2013,,Jenrry Mejia,23,1,2,0.333,2.3,5,5,0,0,0,0,27.1,28,9,7,2,4,0,27,0,0,1,112,157,2.46,1.171,9.2,0.7,1.3,8.9,6.75,Right,No
19,2013,,Aaron Harang,35,0,1,0.0,3.52,4,4,0,0,0,0,23.0,20,10,9,5,12,0,26,1,0,1,100,103,5.31,1.391,7.8,2.0,4.7,10.2,2.17,Right,No
20,2013,,Robert Carson,24,0,0,0.0,8.24,14,0,3,0,0,0,19.2,21,19,18,9,7,0,8,1,0,0,88,44,9.4,1.424,9.6,4.1,3.2,3.7,1.14,Left,No
21,2013,,Vic Black,25,3,0,1.0,3.46,15,0,4,0,0,1,13.0,11,5,5,1,4,0,12,1,0,3,55,106,3.36,1.154,7.6,0.7,2.8,8.3,3.0,Right,No
22,2013,,Pedro Feliciano,36,0,2,0.0,3.97,25,0,3,0,0,0,11.1,11,5,5,1,6,2,9,1,0,1,51,93,4.46,1.5,8.7,0.8,4.8,7.1,1.5,Left,No
23,2013,,Jeurys Familia,23,0,0,0.0,4.22,9,0,3,0,0,1,10.2,12,5,5,2,9,1,8,0,0,3,52,88,6.52,1.969,10.1,1.7,7.6,6.8,0.89,Right,No
24,2013,,Aaron Laffey,28,0,0,0.0,7.2,4,2,1,0,0,0,10.0,16,8,8,1,5,0,9,2,0,0,50,51,4.65,2.1,14.4,0.9,4.5,8.1,1.8,Left,No
25,2013,,Collin McHugh,26,0,1,0.0,10.29,3,1,2,0,0,0,7.0,12,8,8,2,3,0,3,0,0,0,34,37,7.19,2.143,15.4,2.6,3.9,3.9,1.0,Right,No
26,2013,,Frank Francisco,33,1,0,1.0,4.26,8,0,3,0,0,1,6.1,4,3,3,0,3,0,6,1,0,0,26,89,3.05,1.105,5.7,0.0,4.3,8.5,2.0,Right,No
27,2013,,Tim Byrdak,39,0,0,0.0,7.71,8,0,2,0,0,0,4.2,5,4,4,2,2,0,3,0,0,0,21,50,8.62,1.5,9.6,3.9,3.9,5.8,1.5,Left,No
28,2013,,Sean Henn,32,0,1,0.0,3.38,4,0,2,0,0,0,2.2,3,1,1,1,3,0,1,0,0,0,13,122,10.55,2.25,10.1,3.4,10.1,3.4,0.33,Left,No
29,2013,,Anthony Recker,29,0,0,0.0,18.0,1,0,1,0,0,0,1.0,1,2,2,1,1,0,0,0,0,0,5,28,19.05,2.0,9.0,9.0,9.0,0.0,0.0,Right,No
1,2012,SP,R.A. Dickey,37,20,6,0.769,2.73,34,33,1,5,3,0,233.2,192,78,71,24,54,2,230,9,1,4,927,139,3.27,1.053,7.4,0.9,2.1,8.9,4.26,Right,No
2,2012,SP,Jon Niese,25,13,9,0.591,3.4,30,30,0,0,0,0,190.1,174,77,72,22,49,2,155,4,0,6,788,112,3.8,1.172,8.2,1.0,2.3,7.3,3.16,Left,No
3,2012,SP,Johan Santana,33,6,9,0.4,4.85,21,21,0,2,2,0,117.0,117,65,63,17,39,1,111,0,0,1,499,79,4.09,1.333,9.0,1.3,3.0,8.5,2.85,Left,No
4,2012,SP,Chris Young,33,4,9,0.308,4.15,20,20,0,0,0,0,115.0,119,58,53,16,36,5,80,2,0,3,493,92,4.5,1.348,9.3,1.3,2.8,6.3,2.22,Right,No
5,2012,SP,Dillon Gee,26,6,7,0.462,4.1,17,17,0,0,0,0,109.2,108,56,50,12,29,0,97,6,1,0,463,93,3.7,1.249,8.9,1.0,2.4,8.0,3.34,Right,No
6,2012,CL,Frank Francisco,32,1,3,0.25,5.53,48,0,38,0,0,23,42.1,47,27,26,5,21,1,47,0,1,2,197,69,3.9,1.606,10.0,1.1,4.5,10.0,2.24,Right,No
7,2012,RP,Bobby Parnell,27,5,4,0.556,2.49,74,0,23,0,0,7,68.2,65,24,19,4,20,2,61,1,0,1,288,153,2.99,1.238,8.5,0.5,2.6,8.0,3.05,Right,No
8,2012,RP,Ramon Ramirez,30,3,4,0.429,4.24,58,0,18,0,0,1,63.2,58,33,30,4,35,4,52,0,0,4,277,90,3.93,1.461,8.2,0.6,4.9,7.4,1.49,Right,No
9,2012,RP,Jon Rauch,33,3,7,0.3,3.59,73,0,22,0,0,4,57.2,45,28,23,7,12,2,42,1,0,1,233,106,3.89,0.988,7.0,1.1,1.9,6.6,3.5,Right,No
10,2012,RP,Tim Byrdak,38,2,2,0.5,4.4,56,0,4,0,0,0,30.2,18,16,15,2,18,5,34,1,0,0,125,87,3.58,1.174,5.3,0.6,5.3,10.0,1.89,Left,No
11,2012,,Jeremy Hefner,26,4,7,0.364,5.09,26,13,5,0,0,0,93.2,110,55,53,9,18,1,62,2,0,7,408,75,3.66,1.367,10.6,0.9,1.7,6.0,3.44,Right,No
12,2012,,Matt Harvey,23,3,5,0.375,2.73,10,10,0,0,0,0,59.1,42,19,18,5,26,0,70,3,0,3,245,140,3.3,1.146,6.4,0.8,3.9,10.6,2.69,Right,No
13,2012,,Manny Acosta,31,1,3,0.25,6.46,45,0,7,0,0,1,47.1,48,38,34,7,25,1,46,3,0,2,216,59,4.85,1.542,9.1,1.3,4.8,8.7,1.84,Right,No
14,2012,,Miguel Batista,41,1,3,0.25,4.82,30,5,7,0,0,0,46.2,53,28,25,5,31,0,34,1,0,1,220,79,5.09,1.8,10.2,1.0,6.0,6.6,1.1,Right,No
15,2012,,Josh Edgin,25,1,2,0.333,4.56,34,0,6,0,0,0,25.2,19,14,13,5,10,0,30,2,0,0,107,85,4.69,1.13,6.7,1.8,3.5,10.5,3.0,Left,No
16,2012,,Elvin Ramirez,24,0,1,0.0,5.48,20,0,7,0,0,0,21.1,24,13,13,1,20,1,22,0,0,1,102,70,4.45,2.063,10.1,0.4,8.4,9.3,1.1,Right,No
17,2012,,Collin McHugh,25,0,4,0.0,7.59,8,4,1,0,0,0,21.1,27,21,18,5,8,2,17,2,0,0,99,51,5.95,1.641,11.4,2.1,3.4,7.2,2.13,Right,No
18,2012,,Mike Pelfrey,28,0,0,0.0,2.29,3,3,0,0,0,0,19.2,24,5,5,0,4,0,13,0,0,1,85,169,2.38,1.424,11.0,0.0,1.8,5.9,3.25,Right,No
19,2012,,Jenrry Mejia,22,1,2,0.333,5.63,5,3,1,0,0,0,16.0,20,10,10,2,9,0,8,0,0,1,74,69,5.41,1.813,11.3,1.1,5.1,4.5,0.89,Right,No
20,2012,,Robert Carson,23,0,0,0.0,4.73,17,0,2,0,0,0,13.1,13,7,7,2,4,0,5,2,0,0,57,83,5.64,1.275,8.8,1.4,2.7,3.4,1.25,Left,No
21,2012,,Jeurys Familia,22,0,0,0.0,5.84,8,1,4,0,0,0,12.1,10,8,8,0,9,0,10,0,0,0,52,67,3.66,1.541,7.3,0.0,6.6,7.3,1.11,Right,No
22,2012,,Justin Hampson,32,0,0,0.0,1.8,13,0,1,0,0,0,10.0,6,4,2,0,5,0,4,0,0,0,37,219,3.79,1.1,5.4,0.0,4.5,3.6,0.8,Left,No
23,2012,,Chris Schwinden,25,0,1,0.0,12.46,3,2,1,0,0,0,8.2,15,13,12,4,3,0,1,0,0,0,46,32,9.9,2.077,15.6,4.2,3.1,1.0,0.33,Right,No
24,2012,,Pedro Beato,25,0,0,0.0,10.38,7,0,2,0,0,0,4.1,5,5,5,1,2,0,5,0,0,1,20,40,5.17,1.615,10.4,2.1,4.2,10.4,2.5,Right,No
25,2012,,D.J. Carrasco,35,0,0,0.0,7.36,4,0,3,0,0,0,3.2,6,3,3,2,0,0,3,1,0,1,18,57,9.37,1.636,14.7,4.9,0.0,7.4,0.0,Right,No
26,2012,,Rob Johnson,29,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,3,0,1.09,0.0,0.0,0.0,0.0,9.0,0.0,Right,No
27,2012,,Jack Egbert,29,0,0,0.0,0.0,1,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2,0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,Right,No
28,2012,,Garrett Olson,28,0,0,0.0,108.0,1,0,0,0,0,0,0.1,3,4,4,0,1,0,0,0,0,0,5,8,12.09,12.0,81.0,0.0,27.0,0.0,0.0,Left,No
1,2011,SP,R.A. Dickey,36,8,13,0.381,3.28,33,32,0,1,0,0,208.2,202,85,76,18,54,2,134,9,1,9,876,112,3.77,1.227,8.7,0.8,2.3,5.8,2.48,Right,No
2,2011,SP,Mike Pelfrey,27,7,13,0.35,4.74,34,33,0,2,0,0,193.2,220,111,102,21,65,7,105,7,2,2,860,78,4.47,1.472,10.2,1.0,3.0,4.9,1.62,Right,No
3,2011,SP,Chris Capuano,32,11,12,0.478,4.55,33,31,0,1,1,0,186.0,198,99,94,27,53,5,168,5,0,4,802,81,4.04,1.349,9.6,1.3,2.6,8.1,3.17,Left,No
4,2011,SP,Dillon Gee,25,13,6,0.684,4.43,30,27,1,1,0,0,160.2,150,85,79,18,71,4,114,14,1,6,706,83,4.65,1.376,8.4,1.0,4.0,6.4,1.61,Right,No
5,2011,SP,Jon Niese,24,11,11,0.5,4.4,27,26,0,0,0,0,157.1,178,88,77,14,44,4,138,5,0,3,694,83,3.36,1.411,10.2,0.8,2.5,7.9,3.14,Left,No
6,2011,CL,Francisco Rodríguez,29,2,2,0.5,3.16,42,0,34,0,0,23,42.2,44,15,15,3,16,4,46,2,0,2,187,117,3.05,1.406,9.3,0.6,3.4,9.7,2.88,Right,No
7,2011,RP,Pedro Beato,24,2,1,0.667,4.3,60,0,7,0,0,0,67.0,59,41,32,5,27,3,39,4,0,1,283,86,4.22,1.284,7.9,0.7,3.6,5.2,1.44,Right,No
8,2011,RP,Bobby Parnell,26,4,6,0.4,3.64,60,0,23,0,0,6,59.1,60,29,24,4,27,4,64,2,1,8,268,101,3.21,1.466,9.1,0.6,4.1,9.7,2.37,Right,No
9,2011,RP,Jason Isringhausen,38,3,3,0.5,4.05,53,0,15,0,0,7,46.2,36,23,21,6,24,2,44,1,0,1,200,91,4.42,1.286,6.9,1.2,4.6,8.5,1.83,Right,No
10,2011,RP,Tim Byrdak,37,2,1,0.667,3.82,72,0,10,0,0,1,37.2,34,20,16,3,19,4,47,1,0,1,168,97,3.16,1.407,8.1,0.7,4.5,11.2,2.47,Left,No
11,2011,,D.J. Carrasco,34,1,3,0.25,6.02,42,1,15,0,0,0,49.1,67,35,33,7,16,4,27,6,1,3,225,61,5.11,1.682,12.2,1.3,2.9,4.9,1.69,Right,No
12,2011,,Manny Acosta,30,4,1,0.8,3.45,44,0,15,0,0,4,47.0,50,21,18,6,15,0,46,2,0,0,204,107,3.81,1.383,9.6,1.1,2.9,8.8,3.07,Right,No
13,2011,,Ryota Igarashi,32,4,1,0.8,4.66,45,0,9,0,0,0,38.2,43,20,20,2,28,2,42,4,0,3,190,80,4.01,1.836,10.0,0.5,6.5,9.8,1.5,Right,No
14,2011,,Miguel Batista,40,2,0,1.0,2.64,9,4,0,1,1,0,30.2,22,9,9,0,14,1,15,2,0,1,125,141,3.61,1.174,6.5,0.0,4.1,4.4,1.07,Right,No
15,2011,,Taylor Buchholz,29,1,1,0.5,3.12,23,0,8,0,0,0,26.0,22,10,9,5,7,0,26,1,0,0,107,120,4.45,1.115,7.6,1.7,2.4,9.0,3.71,Right,No
16,2011,,Chris Young,32,1,0,1.0,1.88,4,4,0,0,0,0,24.0,12,5,5,3,11,0,22,1,0,0,95,199,4.32,0.958,4.5,1.1,4.1,8.3,2.0,Right,No
17,2011,,Chris Schwinden,24,0,2,0.0,4.71,4,4,0,0,0,0,21.0,23,13,11,1,6,2,17,1,0,1,95,79,3.03,1.381,9.9,0.4,2.6,7.3,2.83,Right,No
18,2011,,Josh Stinson,23,0,2,0.0,6.92,14,0,3,0,0,1,13.0,14,10,10,1,7,0,8,0,0,0,57,55,4.41,1.615,9.7,0.7,4.8,5.5,1.14,Right,No
19,2011,,Dale Thayer,30,0,3,0.0,3.48,11,0,7,0,0,0,10.1,12,4,4,0,0,0,5,0,0,0,42,110,2.06,1.161,10.5,0.0,0.0,4.4,0.0,Right,No
20,2011,,Danny Herrera,26,0,1,0.0,1.13,16,0,2,0,0,0,8.0,7,1,1,0,2,0,5,0,1,1,33,343,2.53,1.125,7.9,0.0,2.3,5.6,2.5,Left,No
21,2011,,Pat Misch,29,1,0,1.0,10.29,6,0,2,0,0,0,7.0,11,8,8,1,4,0,5,1,0,0,37,38,5.6,2.143,14.1,1.3,5.1,6.4,1.25,Left,No
22,2011,,Blaine Boyer,29,0,2,0.0,10.8,5,0,3,0,0,1,6.2,13,8,8,2,1,0,1,1,0,0,33,36,7.53,2.1,17.6,2.7,1.4,1.4,1.0,Right,No
23,2011,,Mike O'Connor,30,0,1,0.0,2.7,9,0,2,0,0,0,6.2,5,2,2,0,3,0,8,1,0,0,29,144,2.43,1.2,6.8,0.0,4.1,10.8,2.67,Left,No
1,2010,SP,Mike Pelfrey,26,15,9,0.625,3.66,34,33,1,0,0,1,204.0,213,88,83,12,68,5,113,6,1,1,870,107,3.82,1.377,9.4,0.5,3.0,5.0,1.66,Right,No
2,2010,SP,Johan Santana,31,11,9,0.55,2.98,29,29,0,4,2,0,199.0,179,67,66,16,55,2,144,2,2,2,817,131,3.54,1.176,8.1,0.7,2.5,6.5,2.62,Left,No
3,2010,SP,R.A. Dickey,35,11,9,0.55,2.84,27,26,0,2,1,0,174.1,165,62,55,13,42,3,104,4,0,11,713,138,3.65,1.187,8.5,0.7,2.2,5.4,2.48,Right,No
4,2010,SP,Jon Niese,23,9,10,0.474,4.2,30,30,0,2,1,0,173.2,192,97,81,20,62,3,148,9,0,5,770,93,4.1,1.463,10.0,1.0,3.2,7.7,2.39,Left,No
5,2010,CL,Francisco Rodríguez,28,4,2,0.667,2.2,53,0,46,0,0,25,57.1,45,14,14,3,21,4,67,2,1,3,236,179,2.63,1.151,7.1,0.5,3.3,10.5,3.19,Right,No
6,2010,RP,Hisanori Takahashi,35,10,6,0.625,3.61,53,12,21,0,0,8,122.0,116,51,49,13,43,7,114,0,1,1,516,108,3.65,1.303,8.6,1.0,3.2,8.4,2.65,Left,No
7,2010,RP,Pedro Feliciano,33,3,6,0.333,3.3,92,0,16,0,0,0,62.2,66,24,23,1,30,6,56,6,0,1,280,119,3.22,1.532,9.5,0.1,4.3,8.0,1.87,Left,No
8,2010,RP,Elmer Dessens,39,4,2,0.667,2.3,53,0,6,0,0,0,47.0,41,14,12,4,16,6,16,3,0,0,194,171,4.72,1.213,7.9,0.8,3.1,3.1,1.0,Right,No
9,2010,RP,Manny Acosta,29,3,2,0.6,2.95,41,0,12,0,0,1,39.2,30,13,13,4,18,1,42,0,0,3,157,134,3.63,1.21,6.8,0.9,4.1,9.5,2.33,Right,No
10,2010,,Raúl Valdés,32,3,3,0.5,4.91,38,1,8,0,0,1,58.2,59,33,32,7,27,1,56,4,0,2,262,80,4.31,1.466,9.1,1.1,4.1,8.6,2.07,Left,No
11,2010,,Oliver Pérez,28,0,5,0.0,6.8,17,7,4,0,0,0,46.1,54,37,35,9,42,3,37,4,0,4,234,58,6.99,2.072,10.5,1.7,8.2,7.2,0.88,Left,No
12,2010,,Fernando Nieve,27,2,4,0.333,6.0,40,1,9,0,0,0,42.0,37,28,28,10,22,2,38,2,0,2,185,66,6.08,1.405,7.9,2.1,4.7,8.1,1.73,Right,No
13,2010,,John Maine,29,1,3,0.25,6.13,9,9,0,0,0,0,39.2,47,29,27,8,25,1,39,2,0,3,190,64,5.78,1.815,10.7,1.8,5.7,8.8,1.56,Right,No
14,2010,,Jenrry Mejia,20,0,4,0.0,4.62,33,3,8,0,0,0,39.0,46,21,20,3,20,2,22,3,0,7,183,85,4.72,1.692,10.6,0.7,4.6,5.1,1.1,Right,No
15,2010,,Pat Misch,28,0,4,0.0,3.82,12,6,2,0,0,0,37.2,43,20,16,4,4,1,23,1,0,0,159,103,3.64,1.248,10.3,1.0,1.0,5.5,5.75,Left,No
16,2010,,Bobby Parnell,25,0,1,0.0,2.83,41,0,10,0,0,0,35.0,41,13,11,1,8,2,33,0,0,0,149,140,2.25,1.4,10.5,0.3,2.1,8.5,4.13,Right,No
17,2010,,Dillon Gee,24,2,2,0.5,2.18,5,5,0,0,0,0,33.0,25,10,8,2,15,2,17,0,0,0,136,181,4.2,1.212,6.8,0.5,4.1,4.6,1.13,Right,No
18,2010,,Ryota Igarashi,31,1,1,0.5,7.12,34,0,11,0,0,0,30.1,29,24,24,4,18,1,25,0,0,3,135,56,4.93,1.549,8.6,1.2,5.3,7.4,1.39,Right,No
19,2010,,Sean Green,31,0,0,0.0,3.86,11,0,0,0,0,0,9.1,7,6,4,1,8,3,12,4,0,0,48,105,5.76,1.607,6.8,1.0,7.7,11.6,1.5,Right,No
20,2010,,Tobi Stoner,25,0,1,0.0,3.86,1,0,0,0,0,0,2.1,3,1,1,0,1,0,0,0,0,0,11,118,4.36,1.714,11.6,0.0,3.9,0.0,0.0,Right,No
1,2009,SP,Mike Pelfrey,25,10,12,0.455,5.03,31,31,0,0,0,0,184.1,213,112,103,18,66,8,107,7,6,1,824,81,4.39,1.514,10.4,0.9,3.2,5.2,1.62,Right,No
2,2009,SP,Johan Santana,30,13,9,0.591,3.13,25,25,0,0,0,0,166.2,156,67,58,20,46,3,146,3,0,1,701,130,3.79,1.212,8.4,1.1,2.5,7.9,3.17,Left,No
3,2009,SP,Liván Hernández,34,7,8,0.467,5.47,23,23,0,1,0,0,135.0,164,83,82,16,51,3,75,1,0,1,593,75,4.68,1.593,10.9,1.1,3.4,5.0,1.47,Right,No
4,2009,SP,Tim Redding,31,3,6,0.333,5.1,30,17,2,0,0,0,120.0,122,72,68,18,50,5,76,2,0,4,525,80,5.08,1.433,9.2,1.4,3.8,5.7,1.52,Right,No
5,2009,SP,John Maine,28,7,6,0.538,4.43,15,15,0,0,0,0,81.1,67,42,40,8,38,2,55,4,0,5,349,92,4.57,1.291,7.4,0.9,4.2,6.1,1.45,Right,No
6,2009,SP,Oliver Pérez,27,3,4,0.429,6.82,14,14,0,0,0,0,66.0,69,51,50,12,58,2,62,4,0,2,324,60,6.4,1.924,9.4,1.6,7.9,8.5,1.07,Left,No
7,2009,CL,Francisco Rodríguez,27,3,6,0.333,3.71,70,0,66,0,0,35,68.0,51,34,28,7,38,6,73,1,0,1,295,110,4.01,1.309,6.8,0.9,5.0,9.7,1.92,Right,No
8,2009,RP,Bobby Parnell,24,4,8,0.333,5.3,68,8,14,0,0,1,88.1,101,56,52,8,46,2,74,4,1,6,413,77,4.3,1.664,10.3,0.8,4.7,7.5,1.61,Right,No
9,2009,RP,Brian Stokes,29,2,4,0.333,3.97,69,0,19,0,0,0,70.1,72,33,31,6,38,7,45,2,0,1,316,103,4.63,1.564,9.2,0.8,4.9,5.8,1.18,Right,No
10,2009,RP,Sean Green,30,1,4,0.2,4.52,79,0,19,0,0,1,69.2,64,37,35,5,36,5,54,9,1,8,316,91,4.42,1.435,8.3,0.6,4.7,7.0,1.5,Right,No
11,2009,RP,Pedro Feliciano,32,6,4,0.6,3.03,88,0,11,0,0,0,59.1,51,25,20,7,18,4,59,0,1,2,242,135,3.55,1.163,7.7,1.1,2.7,8.9,3.28,Left,No
12,2009,,Nelson Figueroa,35,3,8,0.273,4.09,16,10,2,1,1,0,70.1,80,33,32,8,24,4,59,9,0,1,320,100,4.31,1.479,10.2,1.0,3.1,7.5,2.46,Right,No
13,2009,,Pat Misch,27,3,4,0.429,4.12,22,7,0,1,1,0,59.0,62,27,27,9,19,2,23,2,0,1,251,99,5.37,1.373,9.5,1.4,2.9,3.5,1.21,Left,No
14,2009,,Fernando Nieve,26,3,3,0.5,2.95,8,7,1,0,0,0,36.2,36,13,12,4,19,1,23,1,0,2,161,140,4.9,1.5,8.8,1.0,4.7,5.6,1.21,Right,No
15,2009,,Elmer Dessens,38,0,0,0.0,3.31,28,0,8,0,0,0,32.2,24,12,12,5,10,1,14,2,0,1,130,125,5.33,1.041,6.6,1.4,2.8,3.9,1.4,Right,No
16,2009,,J.J. Putz,32,1,4,0.2,5.22,29,0,6,0,0,2,29.1,29,18,17,1,19,4,19,0,0,1,135,79,4.19,1.636,8.9,0.3,5.8,5.8,1.0,Right,No
17,2009,,Ken Takahashi,40,0,1,0.0,2.96,28,0,5,0,0,0,27.1,23,9,9,2,14,1,23,2,1,2,116,139,4.12,1.354,7.6,0.7,4.6,7.6,1.64,Left,No
18,2009,,Jon Niese,22,1,1,0.5,4.21,5,5,0,0,0,0,25.2,27,12,12,1,9,0,18,0,0,1,110,98,3.25,1.403,9.5,0.4,3.2,6.3,2.0,Left,No
19,2009,,Lance Broadway,25,0,0,0.0,6.75,8,0,3,0,0,0,14.2,19,11,11,0,6,0,9,0,0,0,67,62,3.1,1.705,11.7,0.0,3.7,5.5,1.5,Right,No
20,2009,,Tobi Stoner,24,0,0,0.0,4.0,4,0,1,0,0,0,9.0,9,4,4,2,3,0,5,0,0,0,36,106,5.87,1.333,9.0,2.0,3.0,5.0,1.67,Right,No
21,2009,,Casey Fossum,31,0,0,0.0,2.25,3,0,0,0,0,0,4.0,4,1,1,0,4,0,3,0,0,0,19,198,4.6,2.0,9.0,0.0,9.0,6.8,0.75,Left,No
22,2009,,Jon Switzer,29,0,0,0.0,8.1,4,0,1,0,0,0,3.1,4,3,3,1,2,0,3,1,0,0,17,56,7.9,1.8,10.8,2.7,5.4,8.1,1.5,Left,No
23,2009,,Darren O'Day,26,0,0,0.0,0.0,4,0,1,0,0,0,3.0,5,2,0,0,1,0,2,1,0,0,17,0,3.76,2.0,15.0,0.0,3.0,6.0,2.0,Right,No
24,2009,,Billy Wagner,37,0,0,0.0,0.0,2,0,0,0,0,0,2.0,0,0,0,0,1,0,4,0,0,0,7,0,0.6,0.5,0.0,0.0,4.5,18.0,4.0,Left,No
1,2008,SP,Johan Santana,29,16,7,0.696,2.53,34,34,0,3,2,0,234.1,206,74,66,23,63,5,206,4,2,9,964,166,3.51,1.148,7.9,0.9,2.4,7.9,3.27,Left,No
2,2008,SP,Mike Pelfrey,24,13,11,0.542,3.72,32,32,0,2,0,0,200.2,209,86,83,12,64,1,110,13,0,2,851,113,3.96,1.36,9.4,0.5,2.9,4.9,1.72,Right,No
3,2008,SP,Oliver Pérez,26,10,7,0.588,4.22,34,34,0,0,0,0,194.0,167,100,91,24,105,4,180,11,1,9,847,100,4.68,1.402,7.7,1.1,4.9,8.4,1.71,Left,No
4,2008,SP,John Maine,27,10,8,0.556,4.18,25,25,0,0,0,0,140.0,122,70,65,16,67,2,122,4,0,10,608,101,4.4,1.35,7.8,1.0,4.3,7.8,1.82,Right,No
5,2008,SP,Pedro Martinez,36,5,6,0.455,5.61,20,20,0,0,0,0,109.0,127,70,68,19,44,3,87,6,1,2,493,75,5.18,1.569,10.5,1.6,3.6,7.2,1.98,Right,No
